
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 4.843602 seconds (28.6 MB/s)
csr_from_coo: 0.167058 seconds, 133123 rows, 133123 columns, 8884839 nonzeros, 15 to 697 nonzeros per row, 1 threads, 133123 to 133123 rows per thread, 8884839 to 8884839 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (3 L2 ways)
gemv (warmup): 0.008489 seconds (0.531 Gnz/s, 2.093 Gflop/s, 12.9 to 21.2 GB/s)
gemv (warmup): 0.008304 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv (warmup): 0.008292 seconds (0.544 Gnz/s, 2.143 Gflop/s, 13.2 to 21.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.008303 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008319 seconds (0.542 Gnz/s, 2.136 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008317 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008309 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008308 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008306 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008303 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008342 seconds (0.540 Gnz/s, 2.130 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008322 seconds (0.542 Gnz/s, 2.135 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008307 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008299 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008297 seconds (0.543 Gnz/s, 2.142 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008300 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008312 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008316 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008316 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008303 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008313 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008307 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008294 seconds (0.544 Gnz/s, 2.143 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008293 seconds (0.544 Gnz/s, 2.143 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008310 seconds (0.543 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008303 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008301 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008291 seconds (0.544 Gnz/s, 2.143 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008312 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008314 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008344 seconds (0.540 Gnz/s, 2.130 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008311 seconds (0.543 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008299 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008310 seconds (0.543 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008301 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008309 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008337 seconds (0.541 Gnz/s, 2.131 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008320 seconds (0.542 Gnz/s, 2.136 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008312 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008305 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008287 seconds (0.544 Gnz/s, 2.144 Gflop/s, 13.3 to 21.7 GB/s)
gemv: 0.008304 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008314 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008301 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008315 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008308 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008316 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008299 seconds (0.543 Gnz/s, 2.141 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008310 seconds (0.543 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008327 seconds (0.541 Gnz/s, 2.134 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008315 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008312 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008310 seconds (0.543 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008321 seconds (0.542 Gnz/s, 2.135 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008319 seconds (0.542 Gnz/s, 2.136 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008304 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008316 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008315 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008349 seconds (0.540 Gnz/s, 2.128 Gflop/s, 13.2 to 21.5 GB/s)
gemv: 0.008283 seconds (0.544 Gnz/s, 2.145 Gflop/s, 13.3 to 21.7 GB/s)
gemv: 0.008320 seconds (0.542 Gnz/s, 2.136 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008312 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008305 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008313 seconds (0.542 Gnz/s, 2.138 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008306 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008291 seconds (0.544 Gnz/s, 2.143 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008321 seconds (0.542 Gnz/s, 2.136 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008304 seconds (0.543 Gnz/s, 2.140 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008296 seconds (0.543 Gnz/s, 2.142 Gflop/s, 13.2 to 21.7 GB/s)
gemv: 0.008309 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008325 seconds (0.542 Gnz/s, 2.135 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008315 seconds (0.542 Gnz/s, 2.137 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008340 seconds (0.541 Gnz/s, 2.131 Gflop/s, 13.2 to 21.6 GB/s)
gemv: 0.008308 seconds (0.543 Gnz/s, 2.139 Gflop/s, 13.2 to 21.6 GB/s)
