
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 5.267833 seconds (24.5 MB/s)
csr_from_coo: 0.091488 seconds, 659033 rows, 659033 columns, 5959282 nonzeros, 1 to 628 nonzeros per row, 1 threads, 659033 to 659033 rows per thread, 5959282 to 5959282 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (10 L2 ways, 2 L1 ways)
gemv (warmup): 0.023894 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv (warmup): 0.023862 seconds (0.250 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv (warmup): 0.023880 seconds (0.250 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.023899 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023911 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023910 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023911 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023891 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023902 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023914 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023896 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023906 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023919 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023902 seconds (0.249 Gnz/s, 0.499 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023924 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023914 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023931 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.6 to 5.4 GB/s)
gemv: 0.023925 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.7 to 5.4 GB/s)
gemv: 0.023928 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.6 to 5.4 GB/s)
gemv: 0.023951 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.6 to 5.4 GB/s)
gemv: 0.023929 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.6 to 5.4 GB/s)
gemv: 0.023926 seconds (0.249 Gnz/s, 0.498 Gflop/s, 3.6 to 5.4 GB/s)
