
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 56.445012 seconds (29.7 MB/s)
csr_from_coo: 1.903218 seconds, 2164760 rows, 2164760 columns, 127206144 nonzeros, 24 to 68 nonzeros per row, 1 threads, 2164760 to 2164760 rows per thread, 127206144 to 127206144 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (2 L2 ways, 3 L1 ways)
gemv (warmup): 0.324953 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv (warmup): 0.324747 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv (warmup): 0.324794 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.325070 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv: 0.324995 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv: 0.325059 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv: 0.325025 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv: 0.325052 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv: 0.325056 seconds (0.199 Gnz/s, 0.783 Gflop/s, 4.9 to 7.9 GB/s)
gemv: 0.325352 seconds (0.199 Gnz/s, 0.782 Gflop/s, 4.9 to 7.9 GB/s)
