
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.381584 seconds (24.6 MB/s)
csr_from_coo: 0.028710 seconds, 15449 rows, 15449 columns, 1930655 nonzeros, 44 to 243 nonzeros per row, 1 threads, 15449 to 15449 rows per thread, 1930655 to 1930655 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (10 L2 ways)
gemv (warmup): 0.001159 seconds (0.840 Gnz/s, 3.332 Gflop/s, 20.3 to 33.5 GB/s)
gemv (warmup): 0.001137 seconds (0.856 Gnz/s, 3.395 Gflop/s, 20.7 to 34.2 GB/s)
gemv (warmup): 0.001138 seconds (0.855 Gnz/s, 3.392 Gflop/s, 20.7 to 34.1 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.001138 seconds (0.855 Gnz/s, 3.393 Gflop/s, 20.7 to 34.1 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.395 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001167 seconds (0.834 Gnz/s, 3.310 Gflop/s, 20.2 to 33.3 GB/s)
gemv: 0.001140 seconds (0.854 Gnz/s, 3.387 Gflop/s, 20.6 to 34.1 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.397 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.393 Gflop/s, 20.7 to 34.1 GB/s)
gemv: 0.001139 seconds (0.855 Gnz/s, 3.391 Gflop/s, 20.7 to 34.1 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.397 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.855 Gnz/s, 3.395 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001150 seconds (0.846 Gnz/s, 3.357 Gflop/s, 20.5 to 33.8 GB/s)
gemv: 0.001139 seconds (0.855 Gnz/s, 3.391 Gflop/s, 20.7 to 34.1 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.394 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.394 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001151 seconds (0.846 Gnz/s, 3.356 Gflop/s, 20.5 to 33.8 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.392 Gflop/s, 20.7 to 34.1 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.393 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.392 Gflop/s, 20.7 to 34.1 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.396 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.394 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001138 seconds (0.855 Gnz/s, 3.394 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.395 Gflop/s, 20.7 to 34.2 GB/s)
gemv: 0.001150 seconds (0.846 Gnz/s, 3.358 Gflop/s, 20.5 to 33.8 GB/s)
gemv: 0.001150 seconds (0.846 Gnz/s, 3.358 Gflop/s, 20.5 to 33.8 GB/s)
gemv: 0.001137 seconds (0.856 Gnz/s, 3.395 Gflop/s, 20.7 to 34.2 GB/s)
