
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.453059 seconds (25.2 MB/s)
csr_from_coo: 0.068196 seconds, 334863 rows, 334863 columns, 1851744 nonzeros, 1 to 549 nonzeros per row, 1 threads, 334863 to 334863 rows per thread, 1851744 to 1851744 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (7 L2 ways, 1 L1 ways)
gemv (warmup): 0.020895 seconds (0.044 Gnz/s, 0.177 Gflop/s, 1.4 to 2.0 GB/s)
gemv (warmup): 0.020517 seconds (0.045 Gnz/s, 0.181 Gflop/s, 1.5 to 2.1 GB/s)
gemv (warmup): 0.020581 seconds (0.045 Gnz/s, 0.180 Gflop/s, 1.5 to 2.1 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.020667 seconds (0.045 Gnz/s, 0.179 Gflop/s, 1.5 to 2.1 GB/s)
gemv: 0.020632 seconds (0.045 Gnz/s, 0.179 Gflop/s, 1.5 to 2.1 GB/s)
gemv: 0.020651 seconds (0.045 Gnz/s, 0.179 Gflop/s, 1.5 to 2.1 GB/s)
gemv: 0.020633 seconds (0.045 Gnz/s, 0.179 Gflop/s, 1.5 to 2.1 GB/s)
gemv: 0.020631 seconds (0.045 Gnz/s, 0.180 Gflop/s, 1.5 to 2.1 GB/s)
gemv: 0.020623 seconds (0.045 Gnz/s, 0.180 Gflop/s, 1.5 to 2.1 GB/s)
gemv: 0.020627 seconds (0.045 Gnz/s, 0.180 Gflop/s, 1.5 to 2.1 GB/s)
