
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 2.549500 seconds (28.1 MB/s)
csr_from_coo: 0.068299 seconds, 79171 rows, 79171 columns, 4352105 nonzeros, 20 to 81 nonzeros per row, 1 threads, 79171 to 79171 rows per thread, 4352105 to 4352105 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (5 L2 ways)
gemv: 0.004232 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004225 seconds (0.524 Gnz/s, 2.060 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004234 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004231 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004232 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.055 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004232 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.055 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004220 seconds (0.525 Gnz/s, 2.063 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004237 seconds (0.523 Gnz/s, 2.054 Gflop/s, 12.8 to 20.8 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.055 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004231 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.055 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004232 seconds (0.523 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004225 seconds (0.524 Gnz/s, 2.060 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004231 seconds (0.524 Gnz/s, 2.057 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004226 seconds (0.524 Gnz/s, 2.060 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.055 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004220 seconds (0.525 Gnz/s, 2.063 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004220 seconds (0.525 Gnz/s, 2.063 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004235 seconds (0.523 Gnz/s, 2.055 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004221 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004233 seconds (0.523 Gnz/s, 2.056 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004223 seconds (0.525 Gnz/s, 2.061 Gflop/s, 12.8 to 20.9 GB/s)
gemv: 0.004222 seconds (0.525 Gnz/s, 2.062 Gflop/s, 12.8 to 20.9 GB/s)
region,threads,EFFECTIVE_INST_SPEC,CPU_CYCLES,FP_DP_FIXED_OPS_SPEC,FP_DP_SCALE_OPS_SPEC,L2D_CACHE_REFILL,L2D_CACHE_WB,L2D_SWAP_DM,L2D_CACHE_MIBMCH_PRF,L1D_CACHE_REFILL,CPI ,Frequency ,L1D cache miss rate ,L2D cache miss rate ,L2-Memory Bandwidth ,DP (FP) ,DP (FP+SVE512) ,Computational Intensity (FP+SVE512) ,time
gemv,0,730462424,949452399,7920406,307075400,20476291,7212,30350,8189,23005611,1.299796,2202.685284,0.031495,0.027979,12.142429,18.374973,2867.977398,0.236195,0.431043
total,-1,730462424,949452399,7920406,307075400,20476291,7212,30350,8189,23005611,1.299796,2202.685284,0.031495,0.027979,12.142429,18.374973,2867.977398,0.236195,0.431043
